"network_size";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
5;526;216;0,4106463878327;5,39730408041959;0,28298758434475
10;1391;208;0,149532710280374;14,432286431057;0,29905911675626
15;1892;204;0,107822410147992;22,2429446102718;0,30573864908156
20;2777;211;0,0759812747569319;34,5269740720071;0,34542660470242
25;3321;192;0,0578139114724481;47,9417925787072;0,53305626069451
30;4166;175;0,0420067210753721;62,612463368984;0,627401411161
35;4675;149;0,0318716577540107;77,7273004238842;0,81431668174394
40;5548;119;0,0214491708723864;97,36097622418;1,0680115117205
45;6027;86;0,0142691222830596;114,921355319428;1,3291623003759
50;6962;56;0,0080436656133295;135,115372968085;1,5220956685002
