"N";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
5;519;361;0,695568400770713;4,37325542466404;0,51824296343127
10;1374;522;0,379912663755459;12,5641122307049;0,63841555546799
15;1898;503;0,265015806111697;19,5207891733458;0,65063913564075
20;2803;504;0,179807349268641;29,4171449617527;0,67866132779323
25;3302;480;0,145366444579043;38,5277734586119;0,71015218322235
30;4168;460;0,110364683301344;51,7477163261648;0,79616433268225
35;4694;418;0,0890498508734555;62,1397074004862;0,87107109681957
40;5570;397;0,0712746858168761;75,5224207898602;0,93451650217235
45;6052;353;0,0583278255122274;87,5940777782051;1,0479122446592
50;6951;325;0,0467558624658323;103,140463330022;1,1276605869405
