"N";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
10;1378;528;0,383164005805515;12,6845079249921;0,64076328478356
20;2759;490;0,177600579920261;29,8986681696274;0,68486496123476
30;4192;453;0,108062977099237;51,6531297113888;0,77512197170386
40;5534;403;0,0728225514998193;75,6967645172623;0,94912416733968
50;6977;337;0,0483015622760499;100,830585409926;1,1229402475941
60;8302;280;0,0337268128161889;129,367105843315;1,2687422217449
70;9747;224;0,0229814301836463;158,13788051622;1,3975491957605
80;11093;203;0,0182998287208149;183,955258953325;1,4849080288467
90;12527;166;0,0132513770256246;211,747732585424;1,5475029593419
100;13895;152;0,0109391867578266;237,112026179016;1,57626135748
