"N";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
5;517;50;0,0967117988394584;0,69398611040316;0,15103929262871
10;1381;100;0,0724112961622013;2,03671334185622;0,2716529078301
15;1905;150;0,078740157480315;4,09610403584705;0,40164116219442
20;2774;200;0,0720980533525595;6,82530009595818;0,52225532375203
25;3301;252;0,0763405028779158;10,2784708112876;0,65517026376704
30;4158;307;0,0738335738335738;14,4108605835208;0,7824756730806
35;4700;362;0,0770212765957447;19,256788101461;0,91790575073643
40;5566;417;0,0749191519942508;24,7693663046861;1,0427106211722
45;6105;472;0,0773136773136773;31,0017560510167;1,1781407942492
50;6957;527;0,0757510421158545;37,9023696281303;1,3035710204195
