"N";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
10;1399;100;0,0714796283059328;2,03671507002501;0,27165306493635
20;2758;200;0,0725163161711385;6,82530012942344;0,52225532534561
30;4176;307;0,0735153256704981;14,4108316887254;0,78247474099042
40;5548;417;0,0751622206200433;24,7693774510853;1,0427108930356
50;6959;527;0,075729271447047;37,9023842761969;1,3035713076365
60;8326;637;0,0765073264472736;53,8106536877667;1,5653691676341
70;9706;658;0,0677931176591799;64,3891006666666;1,606959303593
80;11082;658;0,0593755639776214;73,0807182171045;1,6184234387833
90;12535;658;0,0524930195452732;81,8948869632349;1,6134332423947
100;13918;605;0,0434688892082196;84,870486158699;1,5113430945336
