"N";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
5;520;358;0,688461538461538;1,66939214802869;0,50387619171707
10;1369;497;0,363038714390066;3,29551556765952;0,70960999887628
15;1916;711;0,371085594989562;6,03251801313819;1,0272661310852
20;2782;669;0,240474478792236;8,51353280058778;1,0444563688896
25;3295;620;0,188163884673748;11,7223814216316;1,0778958441948
30;4175;750;0,179640718562874;16,2126981639813;1,283391076215
35;4689;698;0,148859031776498;20,7393963973795;1,3118676636668
40;5550;757;0,136396396396396;25,2159987178595;1,4037597945145
45;6096;711;0,116633858267717;32,1965500788108;1,4594572705507
50;6961;642;0,0922281281425083;38,5556906422512;1,4397901020792
