"N";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
5;520;55;0,105769230769231;5,52870599735938;0,24979697144289
10;1368;72;0,0526315789473684;9,83399399911232;0,35014913796346
15;1911;69;0,0361067503924647;15,0684670747284;0,39326393376365
20;2761;64;0,0231800072437523;23,1651161911507;0,57002466099934
25;3313;53;0,0159975852701479;31,0214975668419;0,65022000128199
30;4158;10;0,00240500240500241;83,0575221810649;1,1207496110029
35;4693;7;0,00149158320903473;105,080302228959;0,92491180301966
40;5539;1;0,000180538003249684;134,05692611126;0,36514148619016
45;6095;1;0,000164068908941756;155,632994571162;0,25752281452475
50;6938;0;0;185,027509320663;0,090845962540999
