"N";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
10;1384;68;0,0491329479768786;9,77182417419467;0,35124326749441
20;2771;55;0,0198484301696139;20,484904649734;0,5621776435153
30;4190;17;0,00405727923627685;76,8441296974094;1,08969193888
40;5549;1;0,000180212650928095;137,266136604097;0,34264064503147
50;6941;1;0,000144071459443884;185,740633182655;0,10017561384066
60;8323;1;0,000120148984741079;235,085488002126;0,10049002137784
70;9715;2;0,000205867215645908;283,275770586253;0,080234028809113
80;11103;0;0;333,821428630838;0,10212066008574
90;12499;0;0;381,3563203685;0,094420539455521
100;13930;0;0;432,473285754333;0,07940786341406
