"network_size";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
5;531;274;0,516007532956685;5,18314490210573;0,35139587163275
10;1387;255;0,183850036049027;14,1222494602652;0,33674915653821
15;1908;248;0,129979035639413;22,3189224854324;0,35809442899092
20;2770;255;0,092057761732852;35,2642388472975;0,42897963995873
25;3305;239;0,0723146747352496;47,4869432761222;0,52341124735528
30;4173;210;0,0503235082674335;63,5674645397592;0,65498201500965
35;4702;180;0,038281582305402;77,9535342190116;0,8752386208364
40;5564;132;0,0237239396117901;96,1938379999216;1,1268972900953
45;6062;115;0,0189706367535467;112,216207706088;1,2863961588698
50;6920;107;0,0154624277456647;127,707627539103;1,3266297806187
