"slot_duration";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
0,05;3301;1205;0,36504089669797;12,2136191891859;1,6439820797914
0,06;3300;1015;0,307575757575758;11,5567827683223;1,4411447189633
0,07;3295;868;0,263429438543247;11,2765034922136;1,2929977660764
0,08;3296;767;0,232706310679612;11,2722789772485;1,1979611924881
0,09;3280;682;0,207926829268293;11,4373562120449;1,1257702665603
0,1;3298;621;0,188295936931474;11,7260450037711;1,0793592927226
0,11;3299;559;0,16944528645044;12,0704275606453;1,0340726726532
0,12;3325;519;0,15609022556391;12,5166736281348;1,0132940490798
0,13;3299;475;0,143983025159139;12,9930620744684;0,98835191985071
0,14;3281;436;0,132886315147821;13,4840300182113;0,9655568734217
0,15;3297;394;0,119502578101304;13,9925009914829;0,94227678226194
0,16;3300;367;0,111212121212121;14,569827130427;0,93779377377131
0,17;3320;330;0,0993975903614458;15,1125871178013;0,92080054307234
0,18;3279;311;0,0948459896309851;15,7369184471374;0,92388169562094
0,19;3335;283;0,0848575712143928;16,3328239823724;0,91940564007903
0,2;3288;265;0,0805961070559611;16,9700609577454;0,92521301630457
0,21;3299;249;0,0754774173992119;17,6337444384065;0,93403780539312
0,22;3295;231;0,0701062215477997;18,274709775155;0,93885380551733
0,23;3294;215;0,0652701882210079;18,938073143738;0,94886353991032
0,24;3286;200;0,0608642726719416;19,6069229632992;0,95983944086321
0,25;3297;188;0,0570215347285411;20,2890257650657;0,97359300377566
0,26;3303;175;0,0529821374508023;20,9724028799928;0,98663546105619
0,27;3298;167;0,0506367495451789;21,673222296611;1,0041320063983
0,28;3306;156;0,0471869328493648;22,3742533291536;1,0204910393239
0,29;3291;149;0,0452749924035248;23,0818603581093;1,0407009728168
0,3;3306;134;0,0405323653962492;23,7660434876403;1,0528864814597
