"network_size";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
5;528;245;0,464015151515151;5,24506230142645;0,31403530999507
10;1380;233;0,168840579710145;14,3463428883794;0,3235394074708
15;1925;226;0,117402597402597;22,5969836122547;0,33507690936849
20;2786;236;0,0847092605886576;34,7085288696175;0,39136983865953
25;3276;204;0,0622710622710623;46,6115837762678;0,5302687626101
30;4166;184;0,0441670667306769;66,0837815253233;0,7673105073721
35;4679;166;0,0354776661679846;78,2371628976201;0,89666203072196
40;5530;112;0,020253164556962;100,477018260545;1,2368265849791
45;6078;94;0,0154656136887134;113,902100537177;1,3680252650127
50;6947;89;0,0128112854469555;131,59698349798;1,4380089692952
