"network_size";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
5;528;27;0,0511363636363636;0,267834283308215;0,080543845135897
10;1401;32;0,0228408279800143;0,281058718698338;0,068977449774139
15;1913;68;0,0355462624150549;0,761884554378444;0,16774034548246
20;2764;66;0,0238784370477569;0,91881993969048;0,23690728887593
25;3321;26;0,00782896717856067;0,444889227710321;0,072010794955135
30;4144;33;0,00796332046332046;0,790359854643011;0,16611115975984
35;4669;49;0,0104947526236882;1,12450569601824;0,23614330973882
40;5558;39;0,00701691255847427;0,701771807656284;0,11907008470008
45;6094;52;0,00853298326222514;1,10512192310465;0,18640361571902
50;6898;64;0,00927805160916208;1,13768934027544;0,22565356590349
