"N";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
5;522;482;0,923371647509579;2,06515061629271;0,63026474770648
6;599;564;0,941569282136895;2,60043591654322;0,74984246494001
7;908;824;0,907488986784141;3,48146006588329;0,99030518274768
8;1016;927;0,91240157480315;3,94995214751835;1,098174164837
9;1024;695;0,6787109375;3,52332177951509;0,90988659485827
10;1378;893;0,648040638606676;4,32335520969499;1,1094947081976
11;1395;912;0,653763440860215;4,76629501050891;1,1537316257722
12;1511;1014;0,671078755790867;5,46337285067859;1,2869235497016
13;1533;1035;0,675146771037182;5,97452512100956;1,3331495920606
14;1903;1237;0,650026274303731;6,91332700992622;1,5376734552561
15;1925;1255;0,651948051948052;7,48053129602648;1,5805791853512
16;2003;1231;0,614578132800799;7,48529513121005;1,5670476535522
17;2291;1094;0,477520733304234;7,56233861969503;1,420743155754
18;2378;1172;0,492851135407906;8,30938678156565;1,5238525142257
19;2387;1193;0,499790532048597;8,93827044837149;1,5685532880828
20;2746;1331;0,484705025491624;9,83501003659649;1,7099231088357
