"N";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
5;522;433;0,829501915708812;3,0315559855811;0,80557892059903
6;598;478;0,79933110367893;3,75073216633932;0,95538991279667
7;907;579;0,638368246968026;5,49615957751648;1,1561127822078
8;1011;561;0,554896142433234;6,45306154759026;1,1725506819832
9;1028;585;0,569066147859922;6,42675936129213;1,1833164565887
10;1384;572;0,413294797687861;9,20507703191233;1,297579713999
11;1399;572;0,408863473909936;9,28119832678625;1,2901308411924
12;1513;582;0,384666226040978;10,2830461061358;1,3222312787565
13;1527;564;0,369351669941061;10,5675439801188;1,2996969392985
14;1908;469;0,2458071278826;14,1520665005193;1,3084298991962
15;1909;482;0,252488213724463;14,3721214809229;1,3204066420929
16;1997;436;0,218327491236855;15,4860729261888;1,3035619167847
17;2307;447;0,193758127438231;16,7351770978341;1,3421539345381
18;2391;433;0,181095775826014;18,5234395665305;1,3692353152949
19;2395;423;0,176617954070981;18,4678368900168;1,3542036086132
20;2767;385;0,139139862667149;21,6460607222294;1,3691872616252
