"N";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
5;519;361;0,695568400770713;4,3732566775532;0,51824310100535
6;601;464;0,772046589018303;5,93853839480769;0,65396273404441
7;920;563;0,61195652173913;8,29938432187684;0,65263221087623
8;1007;539;0,535253227408143;9,70667709464018;0,64010743411453
9;1022;520;0,50880626223092;10,3324140943594;0,63650486022654
10;1390;505;0,363309352517986;12,6348076374961;0,63400947203784
11;1406;513;0,364864864864865;13,5338146291018;0,64263792893103
12;1504;484;0,321808510638298;14,9755569988009;0,63163957228633
13;1549;475;0,306649451258877;15,7438209812023;0,63351013725749
14;1905;477;0,250393700787402;18,6865382572321;0,63594474992938
15;1929;479;0,248315189217211;19,260725406138;0,64679268414403
16;2011;487;0,242168075584286;21,0640605531149;0,65569104749861
17;2294;474;0,206625980819529;23,179508449612;0,65230323274816
18;2395;486;0,202922755741127;25,2750366307697;0,66388450176527
19;2400;475;0,197916666666667;26,1097664052417;0,66737490257155
20;2768;486;0,175578034682081;29,3629657825686;0,67093793381642
