"N";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
5;517;50;0,0967117988394584;0,69398610934223;0,15103929249862
6;596;60;0,100671140939597;0,91019621704998;0,17641171061403
7;908;70;0,0770925110132159;1,1463271250974;0,19865976257524
8;1003;80;0,0797607178464606;1,41799761024274;0,22403246924012
9;1027;90;0,0876338851022395;1,72521191879098;0,25253034007807
10;1388;100;0,0720461095100865;2,0367154107239;0,27165309599478
11;1401;110;0,0785153461812991;2,39938390548881;0,30015056838283
12;1523;120;0,0787918581746553;2,78197339296033;0,32552345170073
13;1532;130;0,0848563968668407;3,20009898623063;0,35402085793438
14;1906;140;0,0734522560335782;3,62252097947419;0,37314377294559
15;1920;150;0,078125;4,09610615094868;0,40164129451093
16;2001;160;0,079960019990005;4,58961641468906;0,4270143803876
17;2291;170;0,0742034046268005;5,10303478830395;0,4492620034742
18;2390;180;0,0753138075313808;5,65199191289585;0,47463443176929
19;2402;190;0,0791007493755204;6,2365024239786;0,50313241689228
20;2751;200;0,0727008360596147;6,82529596810505;0,52225512734649
