"N";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
5;520;55;0,105769230769231;5,52871811408069;0,24979689252197
6;602;64;0,106312292358804;6,19939842864358;0,22543103812248
7;909;71;0,0781078107810781;8,97730794324727;0,20762610967641
8;1014;67;0,0660749506903353;8,68970400387157;0,27536970047463
9;1023;62;0,0606060606060606;8,77628031623577;0,30543772424801
10;1390;67;0,0482014388489209;10,3160518524955;0,37943953769355
11;1397;77;0,0551181102362205;11,3108336344168;0,25313780611782
12;1515;71;0,0468646864686469;11,976753220701;0,29826325392587
13;1542;63;0,0408560311284047;11,5417258217917;0,37141306302021
14;1902;63;0,0331230283911672;13,906500721528;0,44904868959594
15;1923;64;0,0332813312532501;13,4824402401698;0,40235774359349
16;2007;70;0,0348779272546089;15,037278891668;0,43379148780975
17;2283;64;0,0280332895313184;17,1661336948976;0,49469844357304
18;2387;65;0,0272308336824466;19,145543246817;0,53297227258596
19;2395;60;0,0250521920668058;19,1716410179062;0,59170838400201
20;2766;70;0,0253073029645698;22,2817308706569;0,54874900553962
