"window_number";"window_end_time";"packets_number";"total_packets_size"
1;1;74;3348
2;2;87;4255
3;3;22;933
4;4;21;918
5;5;13;624
6;6;32;1282
7;7;71;2522
8;8;33;1314
9;9;24;1002
10;10;16;751
11;11;15;720
12;12;61;2250
13;13;66;2658
14;14;49;2698
15;15;47;2611
16;16;18;922
17;17;30;1177
18;18;72;2581
19;19;34;1340
20;20;25;1052
21;21;16;754
22;22;16;768
23;23;62;2299
24;24;57;2094
25;25;32;1534
26;26;34;1818
27;27;29;1683
28;28;49;2394
29;29;80;3073
30;30;32;1261
31;31;24;1001
32;32;15;704
33;33;16;768
34;34;60;2175
35;35;58;2136
36;36;26;1080
37;37;23;1113
38;38;26;1512
39;39;48;2374
40;40;95;4128
41;41;36;1550
42;42;25;1056
43;43;15;706
44;44;15;720
45;45;59;2143
46;46;58;2127
47;47;24;1002
48;48;22;965
49;49;23;1249
50;50;38;1724
51;51;79;2965
52;52;46;2211
53;53;43;2336
54;54;21;1142
55;55;14;672
56;56;60;2206
57;57;59;2199
58;58;26;1105
59;59;22;968
60;60;16;768
61;61;34;1436
62;62;84;3358
63;63;36;1484
64;64;30;1302
65;65;43;2605
66;66;31;1813
67;67;62;2274
68;68;57;2078
69;69;25;1056
70;70;19;819
71;71;15;720
72;72;30;1175
73;73;83;3276
74;74;41;1858
75;75;24;1006
76;76;16;774
77;77;36;2093
78;78;74;3157
79;79;66;2707
80;80;26;1109
81;81;19;827
82;82;15;720
83;83;30;1183
84;84;74;2640
85;85;32;1255
86;86;32;1473
87;87;25;1398
88;88;16;768
89;89;60;2192
90;90;72;3114
91;91;52;2842
92;92;26;1213
93;93;15;720
94;94;33;1331
95;95;74;2671
96;96;34;1351
97;97;26;1112
98;98;20;1047
99;99;25;1399
100;100;60;2199
101;101;58;2132
102;102;37;1868
103;103;39;2181
104;104;28;1555
105;105;34;1432
106;106;73;2606
107;107;31;1212
108;108;27;1126
109;109;16;768
110;110;18;956
111;111;71;2933
112;112;58;2160
113;113;28;1230
114;114;38;2051
115;115;32;1848
116;116;40;1803
117;117;73;2616
118;118;33;1316
119;119;25;1055
120;120;16;755
121;121;15;720
122;122;64;2443
123;123;69;2869
124;124;28;1232
125;125;19;822
126;126;22;1202
127;127;58;3027
128;128;86;3493
129;129;34;1356
130;130;24;995
131;131;18;851
132;132;14;672
133;133;59;2149
134;134;57;2099
135;135;29;1311
136;136;32;1647
137;137;16;805
138;138;39;1713
139;139;99;4382
140;140;45;2154
141;141;25;1045
142;142;16;752
143;143;15;720
144;144;59;2143
145;145;57;2082
146;146;25;1029
147;147;20;888
148;148;12;592
149;149;43;2014
150;150;92;3796
151;151;43;1992
152;152;46;2458
153;153;23;1242
154;154;15;720
155;155;61;2259
156;156;59;2196
157;157;25;1034
158;158;19;837
159;159;17;816
160;160;33;1408
161;161;84;3353
162;162;37;1576
163;163;36;1764
164;164;25;1350
165;165;32;1896
166;166;67;2635
167;167;58;2147
168;168;25;1054
169;169;24;1067
170;170;16;768
171;171;31;1241
172;172;77;2920
173;173;44;2023
174;174;24;1005
175;175;19;959
176;176;27;1489
177;177;75;3210
178;178;74;3236
179;179;25;1048
180;180;20;866
181;181;16;768
182;182;31;1231
183;183;73;2622
184;184;39;1731
185;185;33;1604
186;186;16;752
187;187;15;720
188;188;69;2757
189;189;66;2718
190;190;38;1901
191;191;40;2165
192;192;15;720
193;193;31;1229
194;194;74;2667
195;195;33;1311
196;196;35;1714
197;197;20;1070
198;198;14;672
199;199;58;2096
200;200;59;2178
201;201;31;1454
202;202;52;2943
203;203;26;1478
204;204;35;1435
205;205;74;2665
206;206;32;1258
207;207;24;999
208;208;17;803
209;209;18;951
210;210;71;2912
211;211;58;2141
212;212;24;999
213;213;31;1569
214;214;30;1684
215;215;47;2266
216;216;83;3316
217;217;35;1408
218;218;24;1006
219;219;17;800
220;220;15;720
221;221;64;2412
222;222;68;2850
223;223;27;1200
224;224;22;956
225;225;15;720
226;226;35;1514
227;227;89;3697
228;228;46;2181
229;229;35;1751
230;230;17;848
231;231;13;624
232;232;61;2241
233;233;56;2047
234;234;37;1855
235;235;25;1220
236;236;15;720
237;237;33;1334
238;238;72;2563
239;239;40;1822
240;240;45;2421
241;241;29;1654
242;242;18;917
243;243;63;2334
244;244;58;2141
245;245;28;1273
246;246;33;1683
247;247;16;793
248;248;34;1379
249;249;73;2634
250;250;36;1483
251;251;36;1772
252;252;25;1325
253;253;23;1319
254;254;76;3182
255;255;65;2597
256;256;25;1045
257;257;22;968
258;258;16;787
259;259;43;2037
260;260;79;2991
261;261;33;1310
262;262;29;1302
263;263;27;1485
264;264;16;792
265;265;61;2232
266;266;77;3414
267;267;36;1813
268;268;20;884
269;269;15;720
270;270;32;1299
271;271;84;3322
272;272;39;1671
273;273;27;1135
274;274;16;768
275;275;22;1170
276;276;70;2839
277;277;56;2018
278;278;31;1442
279;279;34;1819
280;280;24;1364
281;281;33;1355
282;282;75;2696
283;283;38;1625
284;284;33;1634
285;285;17;829
286;286;16;768
287;287;66;2592
288;288;68;2837
289;289;27;1139
290;290;20;876
291;291;20;1043
292;292;54;2712
293;293;79;3033
294;294;32;1262
295;295;23;953
296;296;17;799
297;297;24;1337
