"N";"Hs";"Hrs";"He";"Hal";"Ht"
5;0,372174977693838;0,268651083922197;0,265231592747202;0,236438065236397;0,531296607207114
6;0,360501341599184;0,253066305527463;0,273209001137807;0,243819046762507;0,531296607207114
7;0,358220219290387;0,24486442135926;0,260974559346079;0,231116561215968;0,531296607207114
8;0,368531930162291;0,279537415236982;0,292831254283187;0,261339426716382;0,531296607207114
9;0,380819925622927;0,267121904216607;0,248293550330765;0,220384842870171;0,531296607207114
10;0,362944958208948;0,198638772334777;0,163510408235645;0,145482550256432;0,531296607207114
11;0,379668480170745;0,275744580301834;0,265860301374373;0,236540499691599;0,531296607207114
12;0,329442588050739;0,216309272654516;0,249571382063134;0,221783780036738;0,531296607207114
13;0,39529730928285;0,28356189833176;0,294413447257536;0,262589099855423;0,531296607207114
14;0,317032248034516;0,215260189554288;0,258294937186652;0,229182892395757;0,531296607207114
15;0,316087329188445;0,199051096857888;0,241109953405758;0,213705023946833;0,531296607207114
16;0,345462032060284;0,22145490600683;0,22690127365144;0,201200064866906;0,531296607207114
17;0,343791689523901;0,235127634850779;0,246964598810334;0,219197841547589;0,531296607207114
18;0,312625127122585;0,2008880979691;0,232033535044813;0,205386597297395;0,531296607207114
19;0,357428336620835;0,238211610666097;0,241291720511476;0,214032683480466;0,531296607207114
20;0,314746981109339;0,195263546690012;0,206254667410241;0,181814211178183;0,531296607207114
