"sensors_number";"total_packets_sent";"total_packets_received";"total_energy_utilization";"packet_received_ratio"
10;1384;100;2,03671448911077;0,0722543352601156
20;2751;200;6,82529598236937;0,0727008360596147
30;4170;307;14,4108361884816;0,073621103117506
40;5561;417;24,7693712906064;0,0749865132170473
50;6951;527;37,9023774254423;0,0758164292907495
60;8334;637;53,81067250719;0,0764338852891769
70;9737;639;62,3710441187281;0,0656259628222245
80;11061;659;72,6860345171097;0,0595786999367146
90;12547;638;79,3688140231218;0,0508488084801148
100;13810;658;90,6802274325125;0,0476466328747285
